time_ns;time_s;Length;avg_time;std_time;avg_length;std_length
14737895300;14,7378953;14,99986514;;;;
14568532500;14,5685325;14,52533298;;;;
15251169100;15,2511691;14,26799189;;;;
16165866000;16,165866;14,5494806;;;;
15714096200;15,7140962;15,13274771;;;;
15506219200;15,5062192;14,3666784;;;;
14069452700;14,0694527;14,9064097;;;;
16037858500;16,0378585;14,34690915;;;;
16465656600;16,4656566;14,7754049;;;;
14335584700;14,3355847;15,1175944;;;;
13680601800;13,6806018;14,92684905;;;;
14760727300;14,7607273;14,5188181;;;;
15029344600;15,0293446;14,52368085;;;;
15683665000;15,683665;14,79052804;;;;
14054952000;14,054952;14,28331915;;;;
14100357000;14,100357;14,38653125;;;;
15743287000;15,743287;14,56813211;;;;
15022499200;15,0224992;15,20827542;;;;
14698704800;14,6987048;14,47211911;;;;
15053398400;15,0533984;14,60742785;;;;
14791101700;14,7911017;15,20959148;;;;
14625129500;14,6251295;14,66313127;;;;
14988642400;14,9886424;14,27605255;;;;
15707653400;15,7076534;14,66973153;;;;
13792957000;13,792957;15,4516282;;;;
14752495800;14,7524958;14,7353975;;;;
15095867800;15,0958678;14,64236679;;;;
13881864500;13,8818645;15,32007944;;;;
14999543900;14,9995439;14,823728;;;;
15920300900;15,9203009;15,12509628;;;;
16114687600;16,1146876;14,63549025;;;;
14067579600;14,0675796;15,2545441;;;;
15031920100;15,0319201;15,04178917;;;;
13471486000;13,471486;14,83147988;;;;
15672154900;15,6721549;14,56076393;;;;
14630166500;14,6301665;14,63865093;;;;
14134637700;14,1346377;14,10276164;;;;
14895825600;14,8958256;14,91735407;;;;
15812158500;15,8121585;14,54142213;;;;
14628630900;14,6286309;14,8973416;;;;
15481628300;15,4816283;14,7520086;;;;
15108993900;15,1089939;14,71277493;;;;
13831689700;13,8316897;14,97020665;;;;
14494441100;14,4944411;14,97881715;;;;
15343016800;15,3430168;14,46029371;;;;
14444656400;14,4446564;15,78776312;;;;
15317755500;15,3177555;14,87918954;;;;
13956397800;13,9563978;14,90122566;;;;
15456783800;15,4567838;14,28466109;;;;
14923661500;14,9236615;14,79049552;;;;
15369993100;15,3699931;15,03055295;;;;
16521446200;16,5214462;15,11532185;;;;
14723592100;14,7235921;14,99650474;;;;
13948327100;13,9483271;14,72882313;;;;
15052741800;15,0527418;16,0040459;;;;
15022522100;15,0225221;14,60900891;;;;
13552180900;13,5521809;14,61471062;;;;
14937338400;14,9373384;14,53723816;;;;
15485347200;15,4853472;14,26327005;;;;
15098463300;15,0984633;14,92779386;;;;
14492481300;14,4924813;14,28077122;;;;
16261052100;16,2610521;14,79723034;;;;
15171563900;15,1715639;14,59227064;;;;
14602439700;14,6024397;15,26858947;;;;
16492820400;16,4928204;15,27590244;;;;
14309997100;14,3099971;14,90685322;;;;
14632593000;14,632593;14,80543873;;;;
14164747200;14,1647472;15,00085537;;;;
14634432700;14,6344327;14,63148347;;;;
13617565700;13,6175657;14,89987674;;;;
15033420700;15,0334207;15,00524106;;;;
15947624800;15,9476248;14,71494496;;;;
13883168700;13,8831687;14,49645231;;;;
15515380000;15,51538;14,22169545;;;;
15185671400;15,1856714;15,214843;;;;
15030187300;15,0301873;14,84367211;;;;
15476173100;15,4761731;14,67864552;;;;
15226270400;15,2262704;14,34051449;;;;
15386746400;15,3867464;14,65898023;;;;
15112109200;15,1121092;14,81306736;;;;
13229820900;13,2298209;15,40890148;;;;
16097535000;16,097535;15,19287321;;;;
13684516700;13,6845167;14,82267514;;;;
14539106300;14,5391063;15,04179481;;;;
15646076300;15,6460763;15,11011363;;;;
14520692800;14,5206928;14,83572974;;;;
15695998000;15,695998;14,35779045;;;;
14515954600;14,5159546;15,50545982;;;;
14639838700;14,6398387;14,30468716;;;;
15988720700;15,9887207;14,7821013;;;;
15530729900;15,5307299;15,46391415;;;;
15013990400;15,0139904;15,06855296;;;;
14405626200;14,4056262;14,40965398;;;;
14822143700;14,8221437;14,70472411;;;;
15224946000;15,224946;15,00140756;;;;
14088124500;14,0881245;15,03997309;;;;
15627531600;15,6275316;14,92252234;;;;
14811715000;14,811715;16,08394022;;;;
14311984400;14,3119844;14,54232784;;;;
14303744200;14,3037442;15,01212934;;;;
;;;;;;
;14,9264089;14,82015803;;;;
;0,733673742;0,370401191;;;;
;;0;;;;
